IRUC;DEPARTAMENTO;PROVINCIA;DISTRITO;Sexo;Cargo Informante;Cargo Informante otro;DESC_CIIU;Año funcionamiento;Empresa actualmente;Nivel ventas;Porcentaje;Capacidad operativa 2do trimestre;Modalidad ventas segundo trimentre;Disminución de la demanda de sus productos o servicios;Paralización de la producción a causa de la pandemia;Dificultad en la exportación de sus productos;Desabastecimiento de materias primas e insumos del mercado nacional;Desabastecimiento de materias primas e insumos del extranjero;Disminución de la inversión en maquinaria y equipos;Retraso en el pago de facturas;Retraso en el cobro de facturas;Enfermedad de trabajadores por el COVID-19;Pérdida de capital de trabajo;Altos costos para implementar planes de seguridad;¿Otro?;¿Otro? (Especifique);NO TUVO PROBLEMAS;¿Qué porcentaje de trabajadores laboró en la empresa en el segundo trimestre 2020 (Abril-Mayo-Junio); ¿Cuáles son las modalidades que ha adoptado la empresa para las labores de sus trabajadores?;TAMANO_EMPRESA
144022;CALLAO;CALLAO;CALLAO;2;Gerente/a general;;Actividades de envasado y empaquetado;1994;Parcialmente operativa;Disminuyó;40;De 41 a 60%;Por otra modalidad;1;0;0;0;0;0;0;1;0;0;1;0;;0;De 41 a 60%;Trabajo mixto;Mediana empresa
144023;LIMA;LIMA;SAN ISIDRO;1;Otro;JEFE DE CONTABILIDAD;Otros tipos de intermediación monetaria;1995;Operativa;Disminuyó;80;De 21 a 40%;Por otra modalidad;1;0;0;0;0;0;0;1;1;1;0;0;;0;De 21 a 40%;Trabajo mixto;Micro empresa
144364;LIMA;LIMA;MAGDALENA DEL MAR;2;Contador/a;;Venta al por menor de combustibles para vehículos automotores en comercios especializados;2009;Parcialmente operativa;Disminuyó;50;De 21 a 40%;Solo de forma presencial;1;1;0;0;0;0;1;1;0;0;1;0;;0;De 21 a 40%;Trabajo mixto;Pequeña empresa
144601;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;2;Administrador/a;;Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados;2007;Parcialmente operativa;Disminuyó;30;De 21 a 40%;Solo de forma presencial;1;1;0;0;1;0;0;0;0;0;1;0;;0;De 61 a 80%;Trabajo mixto;Pequeña empresa
144791;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1;Otro;GERENTE ADMINISTRATIVO;Fabricación de sustancias químicas básicas;2010;Operativa;Disminuyó;50;De 41 a 60%;Solo de forma presencial;1;1;0;0;0;0;1;1;1;0;1;0;;0;De 41 a 60%;Trabajo mixto;Pequeña empresa
145158;LIMA;LIMA;LA VICTORIA;2;Contador/a;;Venta al por mayor de productos textiles, prendas de vestir y calzado;2010;Parcialmente operativa;NO REALIO VENTAS;;Hasta 20%;;1;1;0;0;0;0;0;0;0;0;0;0;;0;Hasta 20%;Solo trabajo remoto;Pequeña empresa
145666;LIMA;LIMA;JESUS MARIA;2;Contador/a;;Publicidad;2012;Operativa;Disminuyó;50;De 81 a 100%;Presencial y delivery;1;0;0;0;0;0;1;1;0;1;0;0;;0;De 41 a 60%;Trabajo mixto;Micro empresa
145682;LIMA;LIMA;MIRAFLORES;2;Gerente/a general;;Actividades de telecomunicaciones por satélite;2014;Operativa;Disminuyó;20;De 61 a 80%;Solo a traves de delivery;1;0;0;0;0;0;1;0;0;1;1;1;INCAPACIDAD DE INSTALAR SERVICIOS POR NO MOVILIZACION DE PERSONAL A NIVEL NACIONAL;0;De 61 a 80%;Solo trabajo remoto;Micro empresa
145705;LIMA;LIMA;MIRAFLORES;1;Administrador/a;;Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones;2013;Operativa;Disminuyó;20;De 81 a 100%;Presencial y delivery;1;0;0;0;1;0;1;1;0;0;0;0;;0;De 81 a 100%;Solo trabajo remoto;Pequeña empresa
145752;LIMA;LIMA;SAN ISIDRO;1;Contador/a;;Actividades de consultoría de gestión;2009;Operativa;Disminuyó;55;Hasta 20%;Presencial y delivery;1;0;0;0;0;0;0;1;0;0;0;0;;0;De 81 a 100%;Solo trabajo remoto;Pequeña empresa
145754;LIMA;LIMA;MIRAFLORES;1;Otro;AUXILIAR CONTABLE;Actividades de distribución de películas cinematográficas, vídeos y programas de televisión;2003;Inoperativa;;;;;;;;;;;;;;;;;;;;;Pequeña empresa
145756;LIMA;LIMA;SAN ISIDRO;2;Gerente/a general;;Publicidad;2013;Operativa;Disminuyó;80;Hasta 20%;Presencial y delivery;1;1;0;0;0;0;1;1;0;0;0;0;;0;De 41 a 60%;Trabajo mixto;Pequeña empresa
145790;LIMA;LIMA;SAN MARTIN DE PORRES;1;Contador/a;;Construcción de edificios;2008;Parcialmente operativa;NO REALIO VENTAS;;Hasta 20%;;1;1;0;0;0;0;1;1;1;0;1;0;;0;Hasta 20%;Solo trabajo remoto;Pequeña empresa
146206;LIMA;LIMA;RIMAC;2;Gerente/a general;;Destilación, rectificación y mezcla de bebidas alcohólicas;2000;Operativa;Disminuyó;80;Hasta 20%;Solo a traves de delivery;1;1;0;0;0;0;0;1;1;0;0;0;;0;Hasta 20%;Solo trabajo presencial;Pequeña empresa
146470;LIMA;LIMA;LURIGANCHO;1;Otro;SUB GERENTE;Otras actividades profesionales, científicas y técnicas n.c.p.;2001;Parcialmente operativa;NO REALIO VENTAS;;Hasta 20%;;1;1;0;0;0;0;1;1;0;1;1;0;;0;Hasta 20%;Solo trabajo remoto;Mediana empresa
